bootstrap_resamples,bootstrap_seed,ci_lower,ci_upper,confidence,control_group,mean_difference,metric,paired_count,treatment_group
2000,20260711,-0.15,0.15,0.95,S1,0.0,task_success,60,S2
2000,20260711,0.08333333333333333,0.2916666666666667,0.95,S1,0.1875,official_test_pass_rate,48,S2
2000,20260711,-0.3,-0.1,0.95,S1,-0.2,parse_success_rate,60,S2
2000,20260711,0.0,0.0,0.95,S1,0.0,sandbox_completion_rate,60,S2
2000,20260711,0.0,0.1,0.95,S2,0.05,task_success,60,S3
2000,20260711,0.0,0.125,0.95,S2,0.0625,official_test_pass_rate,48,S3
2000,20260711,0.0,0.11666666666666667,0.95,S2,0.05,parse_success_rate,60,S3
2000,20260711,0.0,0.0,0.95,S2,0.0,sandbox_completion_rate,60,S3
2000,20260711,-0.11666666666666667,0.0,0.95,S3,-0.05,task_success,60,S4
2000,20260711,-0.13725490196078433,0.0,0.95,S3,-0.058823529411764705,official_test_pass_rate,51,S4
2000,20260711,0.0,0.0,0.95,S3,0.0,parse_success_rate,60,S4
2000,20260711,0.0,0.0,0.95,S3,0.0,sandbox_completion_rate,60,S4
2000,20260711,-0.13333333333333333,0.13333333333333333,0.95,S1,0.0,task_success,60,S4
2000,20260711,0.0784313725490196,0.27450980392156865,0.95,S1,0.17647058823529413,official_test_pass_rate,51,S4
2000,20260711,-0.25,-0.06666666666666667,0.95,S1,-0.15,parse_success_rate,60,S4
2000,20260711,0.0,0.0,0.95,S1,0.0,sandbox_completion_rate,60,S4
